id,station,route
odpt.Station:TokyoMetro.Fukutoshin.Ikebukuro,池袋,副都心線
odpt.Station:TokyoMetro.Fukutoshin.Kanamecho,要町,副都心線
odpt.Station:TokyoMetro.Fukutoshin.KitaSando,北参道,副都心線
odpt.Station:TokyoMetro.Fukutoshin.KotakeMukaihara,小竹向原,副都心線
odpt.Station:TokyoMetro.Fukutoshin.Shibuya,渋谷,副都心線
odpt.Station:TokyoMetro.Fukutoshin.ShinjukuSanchome,新宿三丁目,副都心線
odpt.Station:TokyoMetro.Fukutoshin.Senkawa,千川,副都心線
odpt.Station:TokyoMetro.Fukutoshin.Zoshigaya,雑司が谷,副都心線
odpt.Station:TokyoMetro.Fukutoshin.NishiWaseda,西早稲田,副都心線
odpt.Station:TokyoMetro.Fukutoshin.HigashiShinjuku,東新宿,副都心線
odpt.Station:TokyoMetro.Fukutoshin.MeijiJingumae,明治神宮前〈原宿〉,副都心線
odpt.Station:TokyoMetro.Fukutoshin.Hikawadai,氷川台,副都心線
odpt.Station:TokyoMetro.Fukutoshin.Heiwadai,平和台,副都心線
odpt.Station:TokyoMetro.Fukutoshin.ChikatetsuAkatsuka,地下鉄赤塚,副都心線
odpt.Station:TokyoMetro.Fukutoshin.ChikatetsuNarimasu,地下鉄成増,副都心線
odpt.Station:TokyoMetro.Fukutoshin.Wakoshi,和光市,副都心線
odpt.Station:TokyoMetro.Marunouchi.AkasakaMitsuke,赤坂見附,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Awajicho,淡路町,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Ikebukuro,池袋,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Otemachi,大手町,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Ogikubo,荻窪,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Ochanomizu,御茶ノ水,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Kasumigaseki,霞ケ関,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Ginza,銀座,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Korakuen,後楽園,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.KokkaiGijidomae,国会議事堂前,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.ShinOtsuka,新大塚,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.ShinKoenji,新高円寺,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Shinjuku,新宿,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.ShinjukuGyoemmae,新宿御苑前,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.ShinjukuSanchome,新宿三丁目,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.ShinNakano,新中野,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Tokyo,東京,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.NakanoSakaue,中野坂上,丸ノ内線
odpt.Station:TokyoMetro.MarunouchiBranch.NakanoShimbashi,中野新橋,丸ノ内線
odpt.Station:TokyoMetro.MarunouchiBranch.NakanoFujimicho,中野富士見町,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.NishiShinjuku,西新宿,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.HigashiKoenji,東高円寺,丸ノ内線
odpt.Station:TokyoMetro.MarunouchiBranch.Honancho,方南町,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.HongoSanchome,本郷三丁目,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.MinamiAsagaya,南阿佐ケ谷,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Myogadani,茗荷谷,丸ノ内線
odpt.Station:TokyoMetro.Marunouchi.Yotsuya,四ツ谷,丸ノ内線
